,id,sentence,subject_entity,object_entity,label,source
102,102,1959년 한국전쟁으로 문을 닫았던 대성여자중학교는 1960년에 부활하여 대성여자고등학교가 설립되었다.,"{'word': 대성여자중학교, 'start_idx': 20, 'end_idx': 26}","{'word': 1959년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
266,266,2008년 3월 1일제주교육대학교는 제주대학교와 합병되어 제주대학교 사범대학으로 개편되었고 제주대학교 사라캠퍼스로 운영되고 있다.,"{'word': 제주교육대학교, 'start_idx': 11, 'end_idx': 17}","{'word': 2008년 3월 1일, 'start_idx': 0, 'end_idx': 10}",org:dissolved,wikipedia
1171,1171,전영은 조나라를 돕지 않고 진나라를 파괴하는데 가담하지 않아 기원전 206년에서 진나라가 붕괴되고 제나라 왕에서 밀려나 교동왕으로 봉해졌다.,"{'word': 진나라, 'start_idx': 15, 'end_idx': 17}","{'word': 기원전 206년, 'start_idx': 34, 'end_idx': 41}",org:dissolved,wikipedia
1471,1471,"게다가, 강유미는 그의 힘을 강화하기 위해 해체된 2012년 충남 일화 천마의 드래프트로 선발되었다.","{'word': 충남 일화 천마, 'start_idx': 34, 'end_idx': 41}","{'word': 2012년, 'start_idx': 28, 'end_idx': 32}",org:dissolved,wikipedia
1593,1593,"50년 이상의 사두정치체제 이후, 330년 콘스탄티누스 1세 황제의 통치 기간 동안, 이스탄불의 현 위치에 있는 비잔틴이 콘스탄티노폴리스로 명명되었고, 395년에서는 테오도시우스 1세가 사망한 후 동 로마제국와 서 로마제국로 나뉘었다.","{'word': 로마제국, 'start_idx': 112, 'end_idx': 115}","{'word': 395년, 'start_idx': 85, 'end_idx': 88}",org:dissolved,wikipedia
1752,1752,이스트로 해체는 2010년 10월 12일 공식 발표돼 13일 전 이스트로 팀의 공개 드래프트를 통해 위메이드 폭스에 영입됐다.,"{'word': 이스트로, 'start_idx': 0, 'end_idx': 3}","{'word': 2010년 10월, 'start_idx': 9, 'end_idx': 17}",org:dissolved,wikipedia
1867,1867,"2000년 1월에는 서울시의 명령에 따라 퇴출된 승원여객 소속 63, 63-1, 421번 도시형 버스가 성공해 운행을 시작했다.","{'word': 승원여객, 'start_idx': 27, 'end_idx': 30}","{'word': 2000년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
2122,2122,"그곳에서, 그는 1526년로 근처 지역을 정복하기 위해 군대를 모았고, 16세기 초에 몰락한 로디 왕조를 파괴함으로써 무굴 제국을 세웠다.","{'word': 로디 왕조, 'start_idx': 52, 'end_idx': 56}","{'word': 1526년, 'start_idx': 9, 'end_idx': 13}",org:dissolved,wikipedia
2293,2293,2007년 시즌이 끝나면서 현대 유니콘스가 해체되면서 팀의 뒤를 이어 창단 2년차를 거친 그는 2008년과 2009년에도 뚜렷한 활약을 펼치지 못했다.,"{'word': 현대 유니콘스, 'start_idx': 15, 'end_idx': 21}","{'word': 2007년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
2303,2303,말레이시아 싱가포르 항공는 1972년 10월 1일에 이어 싱가포르 항공도 가동이 중단됐다.,"{'word': 싱가포르 항공, 'start_idx': 6, 'end_idx': 12}","{'word': 1972년 10월 1일, 'start_idx': 15, 'end_idx': 26}",org:dissolved,wikipedia
2445,2445,같은 날 카르파티아 우크라이나공화국의 독립을 선언했지만 헝가리가 1939년 3월 16일에서 카르파티아 우크라이나를 침공해 합병하면서 사라졌다.,"{'word': 카르파티아 우크라이나, 'start_idx': 5, 'end_idx': 15}","{'word': 1939년 3월 16일, 'start_idx': 36, 'end_idx': 47}",org:dissolved,wikipedia
2647,2647,"결국 1999년 대법원은 효성의 로고를 축산업협동조합와 겹치는 금융권에서는 사용할 수 없다는 판결을 내렸지만, 2000년축산업협동조합가 농협과 통합되면서 문제가 된 로고 사용이 중단되면서 분쟁은 자연스럽게 종결됐다.","{'word': 축산업협동조합, 'start_idx': 22, 'end_idx': 28}","{'word': 2000년, 'start_idx': 62, 'end_idx': 66}",org:dissolved,wikipedia
3099,3099,카자흐 칸국는 1456년부터 1847년까지 카자흐스탄에 위치한 카자흐스탄 국가이다.,"{'word': 카자흐 칸국, 'start_idx': 0, 'end_idx': 5}","{'word': 1847년, 'start_idx': 16, 'end_idx': 20}",org:dissolved,wikipedia
3604,3604,청년당는 2012년 3월 19일부터 2012년 4월 12일까지 존재했던 대한민국의 진보 정당이다.,"{'word': 청년당, 'start_idx': 0, 'end_idx': 2}","{'word': 2012년 4월 12일, 'start_idx': 20, 'end_idx': 31}",org:dissolved,wikipedia
4249,4249,"1127년신강변(금나라가 송나라를 멸망시키고 휘종, 흑종을 끌고 온 사건)이 일어나 진회와 많은 신하들이 포로로 함께 끌려간다.","{'word': 송나라, 'start_idx': 14, 'end_idx': 16}","{'word': 1127년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
4487,4487,"마침내, 2007년 6월 27일중도개혁통합신당와 함께, 그것은 새롭게 설립되었고 중간 통합 민주당으로 해산되었다.","{'word': 중도개혁통합신당, 'start_idx': 17, 'end_idx': 24}","{'word': 2007년 6월 27일, 'start_idx': 5, 'end_idx': 16}",org:dissolved,wikipedia
4525,4525,"마침내, 기원전 206년에서, 항우는 진나라를 파괴하고 여러 곳에서 황제들을 봉인하여, 원래 왕국의 힘을 약화시키기 위해 각 나라를 분열시키고, 각 고국을 주고 원래 왕들을 다른 곳으로 이동시키기 위해 그를 따르는 장군들을 임명했다.","{'word': 진나라, 'start_idx': 21, 'end_idx': 23}","{'word': 기원전 206년, 'start_idx': 5, 'end_idx': 12}",org:dissolved,wikipedia
4762,4762,현대 유니콘스는 2007년 말기 경영난을 이기지 못하고 이듬해 해체되면서 은퇴까지 현대 유니콘스 선수단을 인수한 실질적 후계팀 넥센 히어로즈에서 1루수로 뛰었다.,"{'word': 현대 유니콘스, 'start_idx': 0, 'end_idx': 6}","{'word': 2007년, 'start_idx': 9, 'end_idx': 13}",org:dissolved,wikipedia
4861,4861,"1918년 3월 29일 독일군의 지원으로 우크라이나 중앙평의회가 우크라이나를 점령하면서 우크라이나는 우크라이나 인민소비에트 공화국, 오데사 인민공화국과 함께 해체됐다.","{'word': 우크라이나 인민소비에트 공화국, 'start_idx': 56, 'end_idx': 71}","{'word': 1918년 3월, 'start_idx': 0, 'end_idx': 7}",org:dissolved,wikipedia
4883,4883,"그리고 키몬다가 문을 닫았던 2011년를 포함하여 전 세계 키몬다의 공장들은 2년 이상 문을 닫았고, 미국의 해고 노동자들과 대규모 소송도 일어났다.","{'word': 키몬다, 'start_idx': 4, 'end_idx': 6}","{'word': 2011년, 'start_idx': 16, 'end_idx': 20}",org:dissolved,wikipedia
